bill,total,for,against
HB175,4,0,4
HB502,4,3,1
HB530,4,1,3
HB540,4,2,2
HJ14,4,4,0
SB72,4,4,0
SB82,4,0,4
SB113,4,1,3
SB118,4,2,2
SB285,4,3,1
SB305,4,4,0
SJ22,4,4,0
SJ50,4,4,0
HB10,3,1,2
HB25,3,2,1
HB26,3,0,3
HB206,3,2,1
HB380,3,0,3
HB391,3,1,2
HJ47,3,3,0
SB129,3,0,3
SB167,3,3,0
SB320,3,0,3
SB349,3,1,2
SB356,3,2,1
SB359,3,0,3
HB60,3,3,0
HB87,3,3,0
HB234,3,1,2
HB247,3,0,3
HB253,3,3,0
HB423,3,2,1
HB428,3,2,1
HB618,3,3,0
HB631,3,3,0
SB205,3,3,0
SB366,3,2,1
SB448,3,0,3
SB481,3,0,3
HB101,3,3,0
HB105,3,2,1
HB118,3,2,1
HB128,3,2,1
HB139,3,0,3
HB288,3,3,0
HB494,3,3,0
HB694,3,0,3
SB21,3,3,0
SB31,3,3,0
SB40,3,3,0
SB43,3,3,0
SB49,3,3,0
SB498,3,0,3
SB518,3,0,3
SB527,3,1,2
SB599,3,0,3
HB177,3,2,1
HB350,3,2,1
HB351,3,2,1
HB509,3,3,0
HJ17,3,3,0
SB88,3,1,2
SB91,3,3,0
SB104,3,3,0
SB105,3,3,0
SB272,3,1,2
SB288,3,1,2
SB297,3,3,0
SB313,3,1,2
SJ6,3,3,0
SJ8,3,2,1
SJ29,3,3,0
SJ61,3,3,0
SR17,3,1,2
SR54,3,3,0
SR59,3,3,0
HB7,2,2,0
HB18,2,1,1
HB183,2,2,0
HB213,2,1,1
HB357,2,2,0
HB373,2,2,0
HB376,2,0,2
HB381,2,0,2
HB553,2,2,0
HB603,2,2,0
HB612,2,1,1
HJ38,2,2,0
HJ481,2,0,2
HR21,2,2,0
SB156,2,1,1
SB166,2,2,0
SB335,2,2,0
SB336,2,0,2
SB343,2,2,0
HB76,2,0,2
HB77,2,2,0
HB95,2,2,0
HB403,2,2,0
HB412,2,0,2
HB432,2,2,0
HB433,2,2,0
HB437,2,2,0
HB627,2,2,0
HB636,2,1,1
HB653,2,2,0
HB654,2,2,0
HB662,2,2,0
HR127,2,0,2
HR316,2,0,2
HR501,2,2,0
HR697,2,0,2
HR703,2,2,0
SB177,2,0,2
SB192,2,1,1
SB200,2,0,2
SB207,2,2,0
SB208,2,2,0
SB374,2,0,2
SB376,2,0,2
SB394,2,2,0
SB406,2,0,2
SB436,2,1,1
HB104,2,2,0
HB124,2,1,1
HB131,2,2,0
HB133,2,2,0
HB270,2,0,2
HB292,2,2,0
HB294,2,1,1
HB451,2,1,1
HB467,2,2,0
HB471,2,1,1
HB477,2,2,0
HB478,2,0,2
HB484,2,2,0
HB678,2,2,0
HB688,2,0,2
HB696,2,0,2
HB708,2,2,0
SB5,2,2,0
SB13,2,0,2
SB14,2,2,0
SB33,2,2,0
SB36,2,1,1
SB38,2,2,0
SB44,2,1,1
SB218,2,1,1
SB226,2,0,2
SB235,2,2,0
SB244,2,0,2
SB576,2,0,2
SB651,2,0,2
SB670,2,0,2
SJ1,2,0,2
SJ4,2,2,0
SJ5,2,2,0
HB181,2,2,0
HB326,2,0,2
HB331,2,1,1
HB545,2,1,1
HB552,2,0,2
HB1761,2,2,0
HB1906,2,0,2
HB2290,2,0,2
HJ7,2,1,1
SB74,2,1,1
SB95,2,2,0
SB276,2,0,2
SB287,2,0,2
SB292,2,2,0
SB301,2,0,2
SJ10,2,2,0
SJ25,2,2,0
SJ1551,2,2,0
SR83,2,2,0
SR88,2,1,1
SR93,2,2,0
HB8,1,1,0
HB24,1,1,0
HB28,1,1,0
HB30,1,1,0
HB31,1,0,1
HB32,1,1,0
HB33,1,0,1
HB41,1,0,1
HB189,1,1,0
HB192,1,1,0
HB208,1,1,0
HB361,1,0,1
HB363,1,0,1
HB364,1,1,0
HB372,1,1,0
HB375,1,1,0
HB386,1,1,0
HB396,1,0,1
HB559,1,0,1
HB561,1,0,1
HB574,1,1,0
HB578,1,1,0
HB579,1,0,1
HB583,1,1,0
HB589,1,0,1
HB595,1,1,0
HB604,1,1,0
HB610,1,1,0
HB611,1,1,0
HJ37,1,0,1
HJ39,1,1,0
HJ43,1,1,0
HJ52,1,1,0
HJ112,1,0,1
HJ113,1,0,1
HJ123,1,0,1
HJ133,1,0,1
HJ136,1,0,1
HJ176,1,1,0
HJ211,1,1,0
HJ244,1,0,1
HJ251,1,0,1
HJ257,1,1,0
HJ258,1,1,0
HJ327,1,1,0
HJ359,1,0,1
HJ389,1,0,1
HJ406,1,1,0
HJ417,1,0,1
HJ427,1,1,0
HR8,1,0,1
HR13,1,1,0
HR14,1,1,0
SB141,1,1,0
SB150,1,0,1
SB152,1,0,1
SB168,1,1,0
SB325,1,1,0
SB333,1,0,1
SB338,1,1,0
SB339,1,0,1
SB344,1,0,1
SB348,1,0,1
SB364,1,0,1
SR379,1,0,1
SR415,1,1,0
SR461,1,0,1
HB44,1,1,0
HB47,1,0,1
HB49,1,1,0
HB53,1,0,1
HB55,1,0,1
HB59,1,0,1
HB63,1,1,0
HB73,1,1,0
HB80,1,0,1
HB84,1,1,0
HB93,1,1,0
HB96,1,1,0
HB249,1,1,0
HB408,1,0,1
HB416,1,0,1
HB420,1,1,0
HB426,1,1,0
HB438,1,0,1
HB445,1,0,1
HB614,1,1,0
HB621,1,0,1
HB623,1,1,0
HB630,1,0,1
HB638,1,0,1
